year,sport,gender,,recognition_type,athlete name,school,selector,class,position,story
2024,football,boys,,second_team_all_class_2a,Garrett Cooper,Delmar,coaches_association,sr.,OT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Marquel Clark,Woodbridge,coaches_association,sr.,DE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Kei’Shaun Copes,Laurel,coaches_association,sr.,DE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Caesar Thomas,Howard,coaches_association,jr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Garrett Cooper,Delmar,coaches_association,sr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Kam’Ren Johnson,Woodbridge,coaches_association,sr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,J.D. DeVane,Caravel,coaches_association,jr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Charvas Walker,Concord,coaches_association,sr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Ryder Keidel,Delmar,coaches_association,sr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Isaiah Melton,Odessa,coaches_association,jr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Khalid Schoolfield,Delmar,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Ji’Kare Banks,Woodbridge,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Jamarion Ramsey,Red Lion Christian Academy,coaches_association,jr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Emmanuel Miles-Martin,Woodbridge,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Nicholas Massey,Caravel,coaches_association,so.,K,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Imer Gonzalez-Velasquez,Milford,coaches_association,sr.,P,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,second_team_all_class_2a,Ji’Kare Banks,Woodbridge,coaches_association,sr.,RET,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-2a-first-and-second-teams/76702110007/
2024,football,boys,,class_1a_offensive_player_of_the_year,Darnell Stokes,Indian River,coaches_association,,,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,class_1a_defensive_player_of_the_year,Charlie Shute,Conrad,coaches_association,,,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,class_1a_lineman_of_the_year,Nolan Staniszewski,Indian River,coaches_association,,,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Quinn deViere,Tatnall,coaches_association,jr.,QB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Davon Handy,Indian River,coaches_association,jr.,FB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Jayvion Chandler,Indian River,coaches_association,sr.,RB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Noah Walker,Polytech,coaches_association,sr.,RB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Darnell Stokes,Indian River,coaches_association,jr.,WR,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Kahseer Williams,Brandywine,coaches_association,sr.,WR,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Chris Gordon,Tatnall,coaches_association,sr.,WR,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Charlie Shute,Conrad,coaches_association,jr.,TE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Jacob Berry,Conrad,coaches_association,sr.,C,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Albert Chidembo,Brandywine,coaches_association,sr.,G,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Jonythan Bailey,First State Military Academy,coaches_association,sr.,G,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Nolan Staniszewski,Indian River,coaches_association,so.,OT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Tyrus Roney,St. Andrew's,coaches_association,sr.,OT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Jack Homer,Tatnall,coaches_association,sr.,DE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Nolan Staniszewski,Indian River,coaches_association,so.,DE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Nicholas Webb,Brandywine,coaches_association,jr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Zaki Drummond,Indian River,coaches_association,jr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Destyn Hoggard,Tatnall,coaches_association,sr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Elijah Benton,Polytech,coaches_association,sr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Noah Keglovits,Seaford,coaches_association,jr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Charlie Shute,Conrad,coaches_association,jr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Brennan Loose,Indian River,coaches_association,so.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Kahseer Williams,Brandywine,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Michael Peranteau,Indian River,coaches_association,jr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Chris Gordon,Tatnall,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Simon Balcerak,Polytech,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Jayvion Pollard,Christiana,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Andrew Lober,Charter of Wilmington,coaches_association,sr.,K,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Andrew Lober,Charter of Wilmington,coaches_association,sr.,P,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,first_team_all_class_1a,Davon Handy,Indian River,coaches_association,jr.,RET,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Gabe Welsh,Conrad,coaches_association,sr.,QB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Vaughn Brooks,McKean,coaches_association,jr.,FB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jayvion Pollard,Christiana,coaches_association,sr.,RB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Gino Greer,Tatnall,coaches_association,sr.,RB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jeremiah McAllister,Christiana,coaches_association,sr.,WR,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jahfarri Payne,Dickinson,coaches_association,jr.,WR,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Cael Mellon,Conrad,coaches_association,jr.,WR,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jude Maycole,Tatnall,coaches_association,sr.,TE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Mike Hernandez,Charter of Wilmington,coaches_association,sr.,C,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jacob Glazier,Tatnall,coaches_association,sr.,G,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Samai Kargbo,Glasgow,coaches_association,jr.,G,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Destyn Hoggard,Tatnall,coaches_association,sr.,OT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jack Homer,Tatnall,coaches_association,sr.,OT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Brendon West,Seaford,coaches_association,jr.,DE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jordan Payne,Christiana,coaches_association,sr.,DE,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Samai Kargbo,Glasgow,coaches_association,jr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Kaden Andrews,Seaford,coaches_association,so.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Gavin Erbayri,McKean,coaches_association,sr.,DT,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Kameryn Swinney,Glasgow,coaches_association,so.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,L.J. Aldas,Charter of Wilmington,coaches_association,sr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,R.J. Moore,Tatnall,coaches_association,sr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Vaughn Brooks,McKean,coaches_association,jr.,LB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Jude Maycole,Tatnall,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Zyaire Tate,Glasgow,coaches_association,jr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Spencer Fairbanks,St. Andrew's,coaches_association,sr.,DB,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Vasco Granitto,Polytech,coaches_association,sr.,K,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Sam White,St. Andrew's,coaches_association,jr.,P,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,football,boys,,second_team_all_class_1a,Chris Gordon,Tatnall,coaches_association,sr.,RET,https://www.delawareonline.com/story/sports/high-school/2024/12/02/delaware-high-school-football-all-class-1a-first-and-second-teams/76702078007/
2024,soccer,boys,,player_of_the_year,Tyler Cifa,Salesianum,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Tyler Cifa,Salesianum,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Gavin Newcombe,Charter of Wilmington,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Michael Capretto,Charter of Wilmington,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Finlay Lum,Caravel,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,CJ Norton,Sussex Academy,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Jack Talley,Appoquinimink,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Trevor Sullivan,Caesar Rodney,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Diego Pedroza-Luna,Delcastle,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Chase Esser,Salesianum,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Kato Connor,Wilmington Friends,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,top_xi_all_state,Leonardo Marquez-Oliva,Conrad,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Gabriel Arbuet,Appoquinimink,coaches_association,so.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Evan Burris,Cape Henlopen,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Riley Buzby,Appoquinimink,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Michael Capretto,Charter of Wilmington,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Tyler Cifa,Salesianum,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Chase Esser,Salesianum,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Jake Hutchison,Cape Henlopen,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Davin Lysik,Charter of Wilmington,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Daniel Matthews,Salesianum,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Gavin Newcombe,Charter of Wilmington,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Diego Pedroza-Luna,Delcastle,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Nerik Romo Duran,Newark,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Dominic Schneck,Milford,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Cole Simpson,St. Georges,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Trevor Sullivan,Caesar Rodney,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Jack Talley,Appoquinimink,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Yersin Velasquez-Lopez,Sussex Central,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_first_team_all_state,Bradley Zavala,Delcastle,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Hridayaesh Balaji,Appoquinimink,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Cardin Benjamin,Cape Henlopen,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Holten Bosco,St. Georges,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Craig Dixon,Caesar Rodney,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Alex Garcia Velasquez,Sussex Tech,coaches_association,so.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Dom Gennusa,Salesianum,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Justin Glasco,Sussex Central,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Pedro Gonzalez,Delcastle,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Geovanny Hallo,Odessa,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Joseph Honore,Caesar Rodney,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Yvaneau Laguerre,Christiana,coaches_association,jr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Nick Livaditis,Charter of Wilmington,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Yonny Mazaeriegos Ortiz,Sussex Central,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
2024,soccer,boys,,division_i_second_team_all_state,Mack Rubano,Charter of Wilmington,coaches_association,sr.,,https://www.delawareonline.com/story/sports/high-school/2024/11/21/salesianum-senior-tyler-cifa-leads-2024-delaware-all-state-boys-soccer-teams/76420758007/
